Isolate	Species.Predicted	ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	Resistance	Host.Group	Genus	Species	Strain	Assembly.Accession	Isolation.Country	Geographic.Group	Collection.Year	Collection.Date	Host.Common.Name
GCA_000015525.1	campylobacter	604	1	2	3	27	5	9	3	0	NA	Campylobacter	Campylobacter jejuni	81-176	GCA_000015525.1	USA	North America	NA	NA	NA
GCA_000025425.1	campylobacter	8	2	1	1	3	2	1	6	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	IA3902	GCA_000025425.1	USA	North America	NA	NA	Sheep
GCA_000168115.1	campylobacter	883	2	17	2	3	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	CF93-6	GCA_000168115.1	Japan	Asia	NA	NA	Human
GCA_000168135.1	campylobacter	362	1	2	49	4	11	66	8	0	Human	Campylobacter	Campylobacter jejuni	260.94	GCA_000168135.1	South Africa	Africa	NA	NA	Human
GCA_000168175.1	campylobacter	22	1	3	6	4	3	3	3	0	NA	Campylobacter	Campylobacter jejuni	HB93-13	GCA_000168175.1	China	Asia	NA	NA	NA
GCA_000168755.1	campylobacter	604	1	2	3	27	5	9	3	0	NA	Campylobacter	Campylobacter jejuni	81-176	GCA_000168755.1	USA	North America	NA	NA	NA
GCA_000171795.2	campylobacter	1919	9	2	2	10	10	3	5	0	Human	Campylobacter	Campylobacter jejuni	CG8421	GCA_000171795.2	Thailand	Asia	NA	NA	Human
GCA_000184825.2	campylobacter	-	2	1	391?	965?	2	1	5	0	Avian	Campylobacter	Campylobacter jejuni	305	GCA_000184825.2	Germany	Europe	NA	NA	Turkey
GCA_000222425.1	campylobacter_nonjejuni_9	4	1	2	2	2	1	2	1	0	Nonhuman Mammal	Campylobacter	Campylobacter fetus	NCTC 10354	GCA_000222425.1	United Kingdom	Europe	NA	NA	Cow
GCA_000234525.1	campylobacter	354	8	10	2	2	11	12	6	0	Human	Campylobacter	Campylobacter jejuni	NW	GCA_000234525.1	USA	North America	NA	NA	Human
GCA_000234545.1	campylobacter	429	7	4	5	2	11	1	5	1	Human	Campylobacter	Campylobacter jejuni	D2600	GCA_000234545.1	USA	North America	NA	NA	Human
